,0
return_2h,0.11233582
return_8h,0.09602589
realized_vol_24h,0.089896075
realized_vol_7d,0.058934093
btc_premium,0.04293834
atr_pct,0.041598074
parallel_vs_official_roc_24h,0.035986543
return_24h,0.033940718
return_3d,0.03292246
ema_macd,0.031110603
btc_premium_zscore,0.02812462
vix_roc_7d,0.02568179
vol_ratio,0.024874264
btc_premium_std_12,0.024176523
atr_14,0.020557735
usdghs_roc_7d,0.018853443
parallel_vs_official,0.018534139
dxy_roc_7d,0.017469553
rsi_14,0.017130198
usdkes_roc_7d,0.01680751
month_sin,0.016130442
btc_premium_ma_12,0.016031524
return_7d,0.01569709
vix,0.01336423
hour_cos,0.012848055
parallel_vs_official_zscore,0.012688594
usdzar_roc_7d,0.012115109
brent_roc_3d,0.011395122
africa_fx_composite,0.010709144
dow_cos,0.0102077555
brent_roc_7d,0.009816454
usdghs_roc_1d,0.009369314
quidax_btc_corr_24h,0.008643847
sma_5d_20d_cross,0.008148264
hour_sin,0.00811682
dxy_roc_3d,0.007045704
usdkes_roc_1d,0.0069458336
month_cos,0.006912426
usdzar_roc_1d,0.0068484256
dow_sin,0.0052347905
is_weekend_adjacent,0.0038327454
is_month_end,0.0
